person_name,Time,Comments,Language
Yash Nipane,2 months ago on,ram mandir seems aweinspiring grandeur intricate template depicting beautiful tale ramayana exquisite painting vibrant narrative epic portrayed temple artwork,en
priyanka yedallou,a month ago on,newly created beautiful ram temple tell whole ramayan pictureson second floor showing history freedom indiathis temple located bank koradi lake,en
Pranay Bante,a month ago on,mustvisit nagpur koradi temple hidden gem offering comprehensive depiction ramayana immerse rich narrative sacred site,en
Khushi,4 months ago on,beautiful ram temple r entry mainly attractionbig hanuman entryramayan described picture format,en
Ghoshal,3 weeks ago on,beautiful placepictures look amazingtickets price r,en
Mechanical Beast,4 months ago on,beautiful divine place located besides koradi mahalakshmi mata mandir entry fee per person r worthy ramayan explained beautifully help picture event written three language hindi,en
Shahebaz Shaikh,2 months ago on,beautiful temple koradi temple situated chhindwara road nagpur dedicated goddess durga located bank koradi lake shrine busiest dussehra navratri one,en
Matt0yash,2 months ago on,koradi there new ram templeits really tall look amazing building lot beautiful design,en
Shubham Singh,a month ago on,amazing peace art never saw anything like thisbest part museum ground floor got know ramayan key point st floor got know freedom fighter kind unique never saw anything like freedom fighter showcased temple museum,en
Swaraj Mahalle,5 days ago on,nice place learn history india ramayana,en
Swaraj Mahalle,5 days ago on,nice place learn history india ramayana,en
Shahebaz Shaikh,2 months ago on,beautiful temple koradi temple situated chhindwara road nagpur dedicated goddess durga located bank koradi lake shrine busiest dussehra navratri one,en
Matt0yash,2 months ago on,koradi there new ram templeits really tall look amazing building lot beautiful design,en
Shubham Singh,a month ago on,amazing peace art never saw anything like thisbest part museum ground floor got know ramayan key point st floor got know freedom fighter kind unique never saw anything like freedom fighter showcased temple museum,en
Swaraj Mahalle,5 days ago on,nice place learn history india ramayana,en
samiksha khapekar,3 months ago on,vibe energy ambience auspicious place couldnt expressed word feel eye smile seeing monumentsjay shree ram,en
Sarang Borate,a month ago on,great initiative future generation learn culturemaintained well people hope visitor maintains place,en
Akshay Waghmare,4 months ago on,awesome gateway day beside koradi amba mata mandirhuge parking availablethe st floor show ramayan nd floor give u insites great freedom fighter,en
